event,event_date,fighter_1,fighter_2,result,method,round,time
UFC 54: Boiling Point,2005-08-20,Diego Sanchez,Brian Gassaway,win,"KO/TKO

      

        Punches",2,1:56
UFC 54: Boiling Point,2005-08-20,Georges St-Pierre,Frank Trigg,win,"SUB

      

        Rear Naked Choke",1,4:09
UFC 54: Boiling Point,2005-08-20,Matt Lindland,Joe Doerksen,win,U-DEC,3,5:00
UFC 54: Boiling Point,2005-08-20,Trevor Prangley,Travis Lutter,win,U-DEC,3,5:00
UFC 54: Boiling Point,2005-08-20,James Irvin,Terry Martin,win,"KO/TKO

      

        Flying Knee",2,0:09
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Rich Franklin,Ken Shamrock,win,"KO/TKO

      

        Punches",1,2:42
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Forrest Griffin,Stephan Bonnar,win,U-DEC,3,5:00
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Diego Sanchez,Kenny Florian,win,"KO/TKO

      

        Punches",1,2:49
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Sam Hoger,Bobby Southworth,win,U-DEC,3,5:00
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Chris Leben,Jason Thacker,win,"KO/TKO

      

        Punches",1,1:35
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Josh Koscheck,Chris Sanford,win,"KO/TKO

      

        Punches",1,4:21
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Nate Quarry,Lodune Sincaid,win,"KO/TKO

      

        Punches",1,3:17
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Mike Swick,Alex Schoenauer,win,"KO/TKO

      

        Punch",1,0:20
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Alex Karalexis,Josh Rafferty,win,"KO/TKO

      

        Punches",1,1:40
UFC 51: Super Saturday,2005-02-05,Tito Ortiz,Vitor Belfort,win,S-DEC,3,5:00
UFC 51: Super Saturday,2005-02-05,Pete Sell,Phil Baroni,win,"SUB

      

        Guillotine Choke",3,4:19
UFC 51: Super Saturday,2005-02-05,Andrei Arlovski,Tim Sylvia,win,"SUB

      

        Ankle Lock",1,0:47
UFC 51: Super Saturday,2005-02-05,Evan Tanner,David Terrell,win,"KO/TKO

      

        Punches",1,4:35
UFC 51: Super Saturday,2005-02-05,Paul Buentello,Justin Eilers,win,"KO/TKO

      

        Punches",1,3:34
UFC 51: Super Saturday,2005-02-05,Mike Kyle,James Irvin,win,"KO/TKO

      

        Punch",1,1:55
UFC 51: Super Saturday,2005-02-05,David Loiseau,Gideon Ray,win,KO/TKO,1,5:00
UFC 51: Super Saturday,2005-02-05,Karo Parisyan,Chris Lytle,win,U-DEC,3,5:00
UFC 51: Super Saturday,2005-02-05,Nick Diaz,Drew Fickett,win,"KO/TKO

      

        Punches",1,4:40
UFC 50: The War Of '04,2004-10-22,Tito Ortiz,Patrick Cote,win,U-DEC,3,5:00
UFC 50: The War Of '04,2004-10-22,Rich Franklin,Jorge Rivera,win,"SUB

      

        Armbar",3,4:28
UFC 50: The War Of '04,2004-10-22,Matt Hughes,Georges St-Pierre,win,"SUB

      

        Armbar",1,4:59
UFC 50: The War Of '04,2004-10-22,Frank Trigg,Renato Verissimo,win,"KO/TKO

      

        Elbows",2,2:11
UFC 50: The War Of '04,2004-10-22,Evan Tanner,Robbie Lawler,win,"SUB

      

        Triangle Choke",1,2:22
UFC 50: The War Of '04,2004-10-22,Ivan Salaverry,Tony Fryklund,win,"SUB

      

        Other - Lock",1,1:36
UFC 50: The War Of '04,2004-10-22,Travis Lutter,Marvin Eastman,win,"KO/TKO

      

        Punch",2,0:33
UFC 49: Unfinished Business,2004-08-21,Randy Couture,Vitor Belfort,win,KO/TKO,3,5:00
UFC 49: Unfinished Business,2004-08-21,Joe Riggs,Joe Doerksen,win,"KO/TKO

      

        Elbows",2,3:39
UFC 49: Unfinished Business,2004-08-21,Chuck Liddell,Vernon White,win,"KO/TKO

      

        Punch",1,4:05
UFC 49: Unfinished Business,2004-08-21,David Terrell,Matt Lindland,win,"KO/TKO

      

        Punch",1,0:24
UFC 49: Unfinished Business,2004-08-21,Justin Eilers,Mike Kyle,win,"KO/TKO

      

        Punch",1,1:14
UFC 49: Unfinished Business,2004-08-21,Chris Lytle,Ronald Jhun,win,"SUB

      

        Guillotine Choke",2,1:17
UFC 49: Unfinished Business,2004-08-21,Karo Parisyan,Nick Diaz,win,S-DEC,3,5:00
UFC 49: Unfinished Business,2004-08-21,Yves Edwards,Josh Thomson,win,"KO/TKO

      

        Kick",1,4:32
UFC 46: Supernatural,2004-01-31,Vitor Belfort,Randy Couture,win,KO/TKO,1,0:49
UFC 46: Supernatural,2004-01-31,Renato Verissimo,Carlos Newton,win,U-DEC,3,5:00
UFC 46: Supernatural,2004-01-31,BJ Penn,Matt Hughes,win,"SUB

      

        Rear Naked Choke",1,4:39
UFC 46: Supernatural,2004-01-31,Frank Mir,Wes Sims,win,"KO/TKO

      

        Punch",2,4:21
UFC 46: Supernatural,2004-01-31,Lee Murray,Jorge Rivera,win,"SUB

      

        Triangle Choke",1,1:45
UFC 46: Supernatural,2004-01-31,Georges St-Pierre,Karo Parisyan,win,U-DEC,3,5:00
UFC 46: Supernatural,2004-01-31,Josh Thomson,Hermes Franca,win,M-DEC,3,5:00
UFC 46: Supernatural,2004-01-31,Matt Serra,Jeff Curran,win,U-DEC,3,5:00
UFC 48: Payback,2004-06-19,Ken Shamrock,Kimo Leopoldo,win,"KO/TKO

      

        Knee",1,1:26
UFC 48: Payback,2004-06-19,Frank Trigg,Dennis Hallman,win,"KO/TKO

      

        Punches",1,4:15
UFC 48: Payback,2004-06-19,Frank Mir,Tim Sylvia,win,"SUB

      

        Armbar",1,0:50
UFC 48: Payback,2004-06-19,Matt Hughes,Renato Verissimo,win,U-DEC,3,5:00
UFC 48: Payback,2004-06-19,Evan Tanner,Phil Baroni,win,U-DEC,3,5:00
UFC 48: Payback,2004-06-19,Matt Serra,Ivan Menjivar,win,U-DEC,3,5:00
UFC 48: Payback,2004-06-19,Georges St-Pierre,Jay Hieron,win,"KO/TKO

      

        Punches",1,1:42
UFC 48: Payback,2004-06-19,Trevor Prangley,Curtis Stout,win,"SUB

      

        Scarf Hold",2,1:05
UFC 47: It's On!,2004-04-02,Chuck Liddell,Tito Ortiz,win,"KO/TKO

      

        Punches",2,0:38
UFC 47: It's On!,2004-04-02,Chris Lytle,Tiki Ghosn,win,"SUB

      

        Bulldog Choke",2,1:55
UFC 47: It's On!,2004-04-02,Yves Edwards,Hermes Franca,win,S-DEC,3,5:00
UFC 47: It's On!,2004-04-02,Andrei Arlovski,Wesley Correira,win,"KO/TKO

      

        Punches",2,1:15
UFC 47: It's On!,2004-04-02,Nick Diaz,Robbie Lawler,win,"KO/TKO

      

        Punch",2,1:31
UFC 47: It's On!,2004-04-02,Mike Kyle,Wes Sims,win,"KO/TKO

      

        Punch",1,4:59
UFC 47: It's On!,2004-04-02,Jonathan Wiezorek,Wade Shipp,win,"KO/TKO

      

        Punches",1,4:40
UFC 47: It's On!,2004-04-02,Genki Sudo,Mike Brown,win,"SUB

      

        Triangle Choke",1,3:31
UFC 44: Undisputed,2003-09-26,Randy Couture,Tito Ortiz,win,U-DEC,5,5:00
UFC 44: Undisputed,2003-09-26,Andrei Arlovski,Vladimir Matyushenko,win,"KO/TKO

      

        Punches",1,1:59
UFC 44: Undisputed,2003-09-26,Tim Sylvia,Gan McGee,win,"KO/TKO

      

        Punch",1,1:54
UFC 44: Undisputed,2003-09-26,Jorge Rivera,David Loiseau,win,U-DEC,3,5:00
UFC 44: Undisputed,2003-09-26,Rich Franklin,Edwin DeWees,win,"KO/TKO

      

        Knees",1,3:35
UFC 44: Undisputed,2003-09-26,Karo Parisyan,Dave Strasser,win,"SUB

      

        Kimura",1,3:52
UFC 44: Undisputed,2003-09-26,Josh Thomson,Gerald Strebendt,win,"KO/TKO

      

        Punches",1,2:45
UFC 44: Undisputed,2003-09-26,Nick Diaz,Jeremy Jackson,win,"SUB

      

        Armbar",3,2:04
UFC 44: Undisputed,2003-09-26,Hermes Franca,Caol Uno,win,"KO/TKO

      

        Punch",2,2:46
UFC 42: Sudden Impact,2003-04-25,Matt Hughes,Sean Sherk,win,U-DEC,5,5:00
UFC 42: Sudden Impact,2003-04-25,Pete Spratt,Robbie Lawler,win,"SUB

      

        Injury",2,2:28
UFC 42: Sudden Impact,2003-04-25,Dave Strasser,Romie Aram,win,U-DEC,3,5:00
UFC 42: Sudden Impact,2003-04-25,Wesley Correira,Sean Alvarez,win,"KO/TKO

      

        Punches",2,1:46
UFC 42: Sudden Impact,2003-04-25,Rich Franklin,Evan Tanner,win,"KO/TKO

      

        Punches",1,2:40
UFC 42: Sudden Impact,2003-04-25,Duane Ludwig,Genki Sudo,win,U-DEC,3,5:00
UFC 42: Sudden Impact,2003-04-25,Hermes Franca,Richard Crunkilton,win,U-DEC,3,5:00
UFC 42: Sudden Impact,2003-04-25,David Loiseau,Mark Weir,win,"KO/TKO

      

        Punches",1,3:55
UFC 41: Onslaught,2003-02-28,Tim Sylvia,Ricco Rodriguez,win,"KO/TKO

      

        Punch",1,3:09
UFC 41: Onslaught,2003-02-28,Frank Mir,David Abbott,win,"SUB

      

        Toe Hold",1,0:46
UFC 41: Onslaught,2003-02-28,BJ Penn,Caol Uno,"draw


draw",S-DEC,5,5:00
UFC 41: Onslaught,2003-02-28,Matt Lindland,Phil Baroni,win,U-DEC,3,5:00
UFC 41: Onslaught,2003-02-28,Vladimir Matyushenko,Pedro Rizzo,win,U-DEC,3,5:00
UFC 41: Onslaught,2003-02-28,Din Thomas,Matt Serra,win,S-DEC,3,5:00
UFC 41: Onslaught,2003-02-28,Gan McGee,Alexandre Dantas,win,"KO/TKO

      

        Punches",1,4:49
UFC 41: Onslaught,2003-02-28,Yves Edwards,Rich Clementi,win,"SUB

      

        Rear Naked Choke",3,4:07
UFC 45: Revolution,2003-11-21,Matt Hughes,Frank Trigg,win,"SUB

      

        Rear Naked Choke",1,3:54
UFC 45: Revolution,2003-11-21,Matt Lindland,Falaniko Vitale,win,"KO/TKO

      

        Punches",3,4:23
UFC 45: Revolution,2003-11-21,Wesley Correira,David Abbott,win,KO/TKO,1,2:14
UFC 45: Revolution,2003-11-21,Evan Tanner,Phil Baroni,win,"KO/TKO

      

        Elbows",1,4:42
UFC 45: Revolution,2003-11-21,Robbie Lawler,Chris Lytle,win,U-DEC,3,5:00
UFC 45: Revolution,2003-11-21,Pedro Rizzo,Ricco Rodriguez,win,U-DEC,3,5:00
UFC 45: Revolution,2003-11-21,Keith Rockel,Chris Liguori,win,"SUB

      

        Guillotine Choke",1,3:29
UFC 45: Revolution,2003-11-21,Yves Edwards,Nick Agallar,win,"KO/TKO

      

        Punch",2,2:14
UFC 39: The Warriors Return,2002-09-27,Ricco Rodriguez,Randy Couture,win,"KO/TKO

      

        Elbows",5,3:04
UFC 39: The Warriors Return,2002-09-27,Tim Sylvia,Wesley Correira,win,KO/TKO,2,1:43
UFC 39: The Warriors Return,2002-09-27,BJ Penn,Matt Serra,win,U-DEC,3,5:00
UFC 39: The Warriors Return,2002-09-27,Caol Uno,Din Thomas,win,U-DEC,3,5:00
UFC 39: The Warriors Return,2002-09-27,Gan McGee,Pedro Rizzo,win,KO/TKO,1,5:00
UFC 39: The Warriors Return,2002-09-27,Phil Baroni,Dave Menne,win,"KO/TKO

      

        Punches",1,0:18
UFC 39: The Warriors Return,2002-09-27,Matt Lindland,Ivan Salaverry,win,U-DEC,3,5:00
UFC 39: The Warriors Return,2002-09-27,Sean Sherk,Benji Radach,win,KO/TKO,1,4:16
UFC 38: Brawl at the Hall,2002-07-13,Matt Hughes,Carlos Newton,win,"KO/TKO

      

        Punches",4,3:37
UFC 38: Brawl at the Hall,2002-07-13,Ian Freeman,Frank Mir,win,KO/TKO,1,4:35
UFC 38: Brawl at the Hall,2002-07-13,Mark Weir,Eugene Jackson,win,"KO/TKO

      

        Punch",1,0:10
UFC 38: Brawl at the Hall,2002-07-13,Genki Sudo,Leigh Remedios,win,"SUB

      

        Rear Naked Choke",2,1:38
UFC 38: Brawl at the Hall,2002-07-13,Phillip Miller,James Zikic,win,U-DEC,3,5:00
UFC 38: Brawl at the Hall,2002-07-13,Renato Sobral,Elvis Sinosic,win,U-DEC,3,5:00
UFC 38: Brawl at the Hall,2002-07-13,Evan Tanner,Chris Haseman,win,U-DEC,3,5:00
UFC 37.5: As Real As It Gets,2002-06-22,Chuck Liddell,Vitor Belfort,win,U-DEC,3,5:00
UFC 37.5: As Real As It Gets,2002-06-22,Benji Radach,Nick Serra,win,U-DEC,3,5:00
UFC 37.5: As Real As It Gets,2002-06-22,Pete Spratt,Zach Light,win,"SUB

      

        Armbar",1,2:25
UFC 37.5: As Real As It Gets,2002-06-22,Robbie Lawler,Steve Berger,win,"KO/TKO

      

        Punch",2,0:27
UFC 37.5: As Real As It Gets,2002-06-22,Tony Fryklund,Rodrigo Ruas,win,"KO/TKO

      

        Punches",2,3:34
UFC 37.5: As Real As It Gets,2002-06-22,Yves Edwards,Joao Pierini,win,KO/TKO,1,1:19
UFC 43: Meltdown,2003-06-06,Randy Couture,Chuck Liddell,win,"KO/TKO

      

        Punches",3,2:39
UFC 43: Meltdown,2003-06-06,Kimo Leopoldo,David Abbott,win,"SUB

      

        Arm Triangle",1,1:59
UFC 43: Meltdown,2003-06-06,Vitor Belfort,Marvin Eastman,win,"KO/TKO

      

        Knees",1,1:07
UFC 43: Meltdown,2003-06-06,Vernon White,Ian Freeman,"draw


draw",S-DEC,3,5:00
UFC 43: Meltdown,2003-06-06,Frank Mir,Wes Sims,win,DQ,1,2:55
UFC 43: Meltdown,2003-06-06,Yves Edwards,Eddie Ruiz,win,U-DEC,3,5:00
UFC 43: Meltdown,2003-06-06,Falaniko Vitale,Matt Lindland,win,"KO/TKO

      

        Slam",1,1:56
UFC 43: Meltdown,2003-06-06,Pedro Rizzo,Tra Telligman,win,KO/TKO,2,4:24
UFC 37: High Impact,2002-05-10,Murilo Bustamante,Matt Lindland,win,"SUB

      

        Guillotine Choke",3,1:33
UFC 37: High Impact,2002-05-10,Ricco Rodriguez,Tsuyoshi Kohsaka,win,"KO/TKO

      

        Punches",2,3:25
UFC 37: High Impact,2002-05-10,BJ Penn,Paul Creighton,win,"KO/TKO

      

        Punches",2,3:23
UFC 37: High Impact,2002-05-10,Phil Baroni,Amar Suloev,win,"KO/TKO

      

        Punches",1,2:59
UFC 37: High Impact,2002-05-10,Caol Uno,Yves Edwards,win,U-DEC,3,5:00
UFC 37: High Impact,2002-05-10,Ivan Salaverry,Andrei Semenov,win,"KO/TKO

      

        Punches",3,2:27
UFC 37: High Impact,2002-05-10,Benji Radach,Steve Berger,"nc


nc",Overturned,1,0:27
UFC 37: High Impact,2002-05-10,Robbie Lawler,Aaron Riley,win,U-DEC,3,5:00
UFC 40: Vendetta,2002-11-22,Tito Ortiz,Ken Shamrock,win,KO/TKO,3,5:00
UFC 40: Vendetta,2002-11-22,Chuck Liddell,Renato Sobral,win,"KO/TKO

      

        Kick",1,2:55
UFC 40: Vendetta,2002-11-22,Matt Hughes,Gil Castillo,win,KO/TKO,1,5:00
UFC 40: Vendetta,2002-11-22,Carlos Newton,Pete Spratt,win,"SUB

      

        Kimura",1,1:45
UFC 40: Vendetta,2002-11-22,Robbie Lawler,Tiki Ghosn,win,"KO/TKO

      

        Punch",1,1:29
UFC 40: Vendetta,2002-11-22,Andrei Arlovski,Ian Freeman,win,"KO/TKO

      

        Punches",1,1:18
UFC 40: Vendetta,2002-11-22,Vladimir Matyushenko,Travis Wiuff,win,"KO/TKO

      

        Punches",1,4:10
UFC 40: Vendetta,2002-11-22,Phillip Miller,Mark Weir,win,"SUB

      

        Rear Naked Choke",2,4:50
UFC 36: Worlds Collide,2002-03-22,Josh Barnett,Randy Couture,win,"KO/TKO

      

        Punches",2,4:35
UFC 36: Worlds Collide,2002-03-22,Pedro Rizzo,Andrei Arlovski,win,"KO/TKO

      

        Punch",3,1:45
UFC 36: Worlds Collide,2002-03-22,Matt Hughes,Hayato Sakurai,win,"KO/TKO

      

        Punches",4,3:01
UFC 36: Worlds Collide,2002-03-22,Matt Lindland,Pat Miletich,win,"KO/TKO

      

        Punches",1,3:09
UFC 36: Worlds Collide,2002-03-22,Evan Tanner,Elvis Sinosic,win,KO/TKO,1,2:06
UFC 36: Worlds Collide,2002-03-22,Frank Mir,Pete Williams,win,"SUB

      

        Other - Lock",1,0:46
UFC 36: Worlds Collide,2002-03-22,Matt Serra,Kelly Dullanty,win,"SUB

      

        Triangle Choke",1,2:58
UFC 36: Worlds Collide,2002-03-22,Sean Sherk,Jutaro Nakao,win,U-DEC,3,5:00
UFC 35: Throwdown,2002-01-11,Jens Pulver,BJ Penn,win,M-DEC,5,5:00
UFC 35: Throwdown,2002-01-11,Ricco Rodriguez,Jeff Monson,win,"KO/TKO

      

        Punches",3,3:00
UFC 35: Throwdown,2002-01-11,Murilo Bustamante,Dave Menne,win,"KO/TKO

      

        Punch",2,0:44
UFC 35: Throwdown,2002-01-11,Chuck Liddell,Amar Suloev,win,U-DEC,3,5:00
UFC 35: Throwdown,2002-01-11,Andrei Semenov,Ricardo Almeida,win,"KO/TKO

      

        Punch",2,2:01
UFC 35: Throwdown,2002-01-11,Kevin Randleman,Renato Sobral,win,U-DEC,3,5:00
UFC 35: Throwdown,2002-01-11,Gil Castillo,Chris Brennan,win,U-DEC,3,5:00
UFC 35: Throwdown,2002-01-11,Eugene Jackson,Keith Rockel,win,"SUB

      

        Guillotine Choke",2,1:14
UFC 31: Locked and Loaded,2001-05-04,Randy Couture,Pedro Rizzo,win,U-DEC,5,5:00
UFC 31: Locked and Loaded,2001-05-04,Carlos Newton,Pat Miletich,win,"SUB

      

        Bulldog Choke",3,2:50
UFC 31: Locked and Loaded,2001-05-04,Chuck Liddell,Kevin Randleman,win,"KO/TKO

      

        Punch",1,1:18
UFC 31: Locked and Loaded,2001-05-04,Shonie Carter,Matt Serra,win,"KO/TKO

      

        Spinning Back Fist",3,4:51
UFC 31: Locked and Loaded,2001-05-04,Semmy Schilt,Pete Williams,win,"KO/TKO

      

        Punch",2,1:28
UFC 31: Locked and Loaded,2001-05-04,Matt Lindland,Ricardo Almeida,win,DQ,3,4:21
UFC 31: Locked and Loaded,2001-05-04,BJ Penn,Joey Gilbert,win,"KO/TKO

      

        Punches",1,4:57
UFC 31: Locked and Loaded,2001-05-04,Tony DeSouza,Steve Berger,win,U-DEC,3,5:00
UFC 33: Victory in Vegas,2001-09-28,Tito Ortiz,Vladimir Matyushenko,win,U-DEC,5,5:00
UFC 33: Victory in Vegas,2001-09-28,Jens Pulver,Dennis Hallman,win,U-DEC,5,5:00
UFC 33: Victory in Vegas,2001-09-28,Chuck Liddell,Murilo Bustamante,win,U-DEC,3,5:00
UFC 33: Victory in Vegas,2001-09-28,Matt Serra,Yves Edwards,win,M-DEC,3,5:00
UFC 33: Victory in Vegas,2001-09-28,Dave Menne,Gil Castillo,win,U-DEC,5,5:00
UFC 33: Victory in Vegas,2001-09-28,Jutaro Nakao,Tony DeSouza,win,"KO/TKO

      

        Punch",2,0:15
UFC 33: Victory in Vegas,2001-09-28,Ricardo Almeida,Eugene Jackson,win,"SUB

      

        Triangle Choke",1,4:06
UFC 33: Victory in Vegas,2001-09-28,Din Thomas,Fabiano Iha,win,U-DEC,3,5:00
UFC 32: Showdown in the Meadowlands,2001-06-29,Tito Ortiz,Elvis Sinosic,win,"KO/TKO

      

        Elbows",1,3:32
UFC 32: Showdown in the Meadowlands,2001-06-29,BJ Penn,Din Thomas,win,"KO/TKO

      

        Knee",1,2:42
UFC 32: Showdown in the Meadowlands,2001-06-29,Josh Barnett,Semmy Schilt,win,"SUB

      

        Armbar",1,4:21
UFC 32: Showdown in the Meadowlands,2001-06-29,Pat Miletich,Shonie Carter,win,"KO/TKO

      

        Kick",2,2:42
UFC 32: Showdown in the Meadowlands,2001-06-29,Caol Uno,Fabiano Iha,win,"KO/TKO

      

        Punches",1,1:48
UFC 32: Showdown in the Meadowlands,2001-06-29,Vladimir Matyushenko,Yuki Kondo,win,U-DEC,3,5:00
UFC 32: Showdown in the Meadowlands,2001-06-29,Ricco Rodriguez,Andrei Arlovski,win,"KO/TKO

      

        Punches",3,1:23
UFC 32: Showdown in the Meadowlands,2001-06-29,Tony DeSouza,Paul Rodriguez,win,"SUB

      

        Guillotine Choke",1,1:05
UFC 34: High Voltage,2001-11-02,Randy Couture,Pedro Rizzo,win,"KO/TKO

      

        Punches",3,3:22
UFC 34: High Voltage,2001-11-02,Ricco Rodriguez,Pete Williams,win,"KO/TKO

      

        Punches",2,4:02
UFC 34: High Voltage,2001-11-02,Matt Hughes,Carlos Newton,win,"KO/TKO

      

        Slam",2,1:27
UFC 34: High Voltage,2001-11-02,BJ Penn,Caol Uno,win,"KO/TKO

      

        Punches",1,0:11
UFC 34: High Voltage,2001-11-02,Josh Barnett,Bobby Hoffman,win,"KO/TKO

      

        Punches",2,4:25
UFC 34: High Voltage,2001-11-02,Evan Tanner,Homer Moore,win,"SUB

      

        Armbar",2,0:55
UFC 34: High Voltage,2001-11-02,Matt Lindland,Phil Baroni,win,M-DEC,3,5:00
UFC 34: High Voltage,2001-11-02,Frank Mir,Roberto Traven,win,"SUB

      

        Armbar",1,1:05
UFC 30: Battle on the Boardwalk,2001-02-23,Tito Ortiz,Evan Tanner,win,"KO/TKO

      

        Slam",1,0:32
UFC 30: Battle on the Boardwalk,2001-02-23,Jens Pulver,Caol Uno,win,U-DEC,5,5:00
UFC 30: Battle on the Boardwalk,2001-02-23,Fabiano Iha,Phil Johns,win,"SUB

      

        Armbar",1,1:40
UFC 30: Battle on the Boardwalk,2001-02-23,Elvis Sinosic,Jeremy Horn,win,"SUB

      

        Triangle Choke",1,2:52
UFC 30: Battle on the Boardwalk,2001-02-23,Pedro Rizzo,Josh Barnett,win,"KO/TKO

      

        Punch",2,4:21
UFC 30: Battle on the Boardwalk,2001-02-23,Bobby Hoffman,Mark Robinson,"nc


nc",Overturned,1,3:27
UFC 30: Battle on the Boardwalk,2001-02-23,Phil Baroni,Curtis Stout,win,U-DEC,2,5:00
UFC 30: Battle on the Boardwalk,2001-02-23,Sean Sherk,Tiki Ghosn,win,"SUB

      

        Injury",2,4:47
UFC 28: High Stakes,2000-11-17,Randy Couture,Kevin Randleman,win,"KO/TKO

      

        Punches",3,4:13
UFC 28: High Stakes,2000-11-17,Renato Sobral,Maurice Smith,win,M-DEC,3,5:00
UFC 28: High Stakes,2000-11-17,Josh Barnett,Gan McGee,win,"KO/TKO

      

        Elbows",2,4:34
UFC 28: High Stakes,2000-11-17,Andrei Arlovski,Aaron Brink,win,"SUB

      

        Armbar",1,0:55
UFC 28: High Stakes,2000-11-17,Jens Pulver,John Lewis,win,"KO/TKO

      

        Punch",1,0:15
UFC 28: High Stakes,2000-11-17,Mark Hughes,Alex Stiebling,win,U-DEC,2,5:00
UFC 28: High Stakes,2000-11-17,Ben Earwood,Chris Lytle,win,U-DEC,2,5:00
UFC 27: Ultimate Bad Boyz,2000-09-22,Pedro Rizzo,Dan Severn,win,"KO/TKO

      

        Kicks",1,1:33
UFC 27: Ultimate Bad Boyz,2000-09-22,Maurice Smith,Bobby Hoffman,win,S-DEC,3,5:00
UFC 27: Ultimate Bad Boyz,2000-09-22,Jeremy Horn,Eugene Jackson,win,"SUB

      

        Armbar",1,4:32
UFC 27: Ultimate Bad Boyz,2000-09-22,Fabiano Iha,Laverne Clark,win,"SUB

      

        Armbar",1,1:10
UFC 27: Ultimate Bad Boyz,2000-09-22,Yuki Kondo,Alexandre Dantas,win,"KO/TKO

      

        Flying Knee",3,2:28
UFC 27: Ultimate Bad Boyz,2000-09-22,Ian Freeman,Tedd Williams,win,U-DEC,3,5:00
UFC 27: Ultimate Bad Boyz,2000-09-22,Jeff Monson,Tim Lajcik,win,U-DEC,2,5:00
UFC 27: Ultimate Bad Boyz,2000-09-22,Brad Gumm,CJ Fernandes,"draw


draw",U-DEC,2,5:00
UFC 29: Defense of the Belts,2000-12-16,Tito Ortiz,Yuki Kondo,win,"SUB

      

        Neck Crank",1,1:52
UFC 29: Defense of the Belts,2000-12-16,Pat Miletich,Kenichi Yamamoto,win,"SUB

      

        Guillotine Choke",2,1:58
UFC 29: Defense of the Belts,2000-12-16,Matt Lindland,Yoji Anjo,win,"KO/TKO

      

        Punches",1,2:58
UFC 29: Defense of the Belts,2000-12-16,Fabiano Iha,Daiju Takase,win,"KO/TKO

      

        Punches",1,2:24
UFC 29: Defense of the Belts,2000-12-16,Evan Tanner,Lance Gibson,win,"KO/TKO

      

        Punches",1,4:58
UFC 29: Defense of the Belts,2000-12-16,Dennis Hallman,Matt Hughes,win,"SUB

      

        Armbar",1,0:20
UFC 29: Defense of the Belts,2000-12-16,Chuck Liddell,Jeff Monson,win,U-DEC,3,5:00
UFC 26: Ultimate Field Of Dreams,2000-06-09,Kevin Randleman,Pedro Rizzo,win,U-DEC,5,5:00
UFC 26: Ultimate Field Of Dreams,2000-06-09,Tyrone Roberts,David Dodd,win,U-DEC,3,5:00
UFC 26: Ultimate Field Of Dreams,2000-06-09,Pat Miletich,John Alessio,win,"SUB

      

        Armbar",2,1:43
UFC 26: Ultimate Field Of Dreams,2000-06-09,Amaury Bitetti,Alex Andrade,win,DQ,2,0:43
UFC 26: Ultimate Field Of Dreams,2000-06-09,Matt Hughes,Marcelo Aguiar,win,KO/TKO,1,4:34
UFC 26: Ultimate Field Of Dreams,2000-06-09,Jens Pulver,Joao Roque,win,U-DEC,3,5:00
UFC 26: Ultimate Field Of Dreams,2000-06-09,Ian Freeman,Nate Schroeder,win,"KO/TKO

      

        Knees",2,2:13
UFC 26: Ultimate Field Of Dreams,2000-06-09,Shonie Carter,Adrian Serrano,win,U-DEC,2,5:00
UFC 25: Ultimate Japan 3,2000-04-14,Tito Ortiz,Wanderlei Silva,win,U-DEC,5,5:00
UFC 25: Ultimate Japan 3,2000-04-14,Murilo Bustamante,Yoji Anjo,win,"SUB

      

        Arm Triangle",2,0:31
UFC 25: Ultimate Japan 3,2000-04-14,Sanae Kikuta,Eugene Jackson,win,"SUB

      

        Armbar",1,4:38
UFC 25: Ultimate Japan 3,2000-04-14,Ron Waterman,Satoshi Honma,win,U-DEC,3,5:00
UFC 25: Ultimate Japan 3,2000-04-14,Ikuhisa Minowa,Joe Slick,win,KO/TKO,3,1:54
UFC 25: Ultimate Japan 3,2000-04-14,Laverne Clark,Koji Oishi,win,M-DEC,3,5:00
UFC 21: Return of the Champions,1999-07-16,Maurice Smith,Marco Ruas,win,KO/TKO,1,5:00
UFC 21: Return of the Champions,1999-07-16,Pat Miletich,Andre Pederneiras,win,KO/TKO,2,1:34
UFC 21: Return of the Champions,1999-07-16,Jeremy Horn,Daiju Takase,win,"KO/TKO

      

        Elbows",1,4:41
UFC 21: Return of the Champions,1999-07-16,Paul Jones,Flavio Luiz Moura,win,"SUB

      

        Rear Naked Choke",1,4:20
UFC 21: Return of the Champions,1999-07-16,Tsuyoshi Kohsaka,Tim Lajcik,win,KO/TKO,2,5:00
UFC 21: Return of the Champions,1999-07-16,Eugene Jackson,Royce Alger,win,"KO/TKO

      

        Punch",2,1:19
UFC 21: Return of the Champions,1999-07-16,Andre Roberts,Ron Waterman,win,"KO/TKO

      

        Punch",1,2:51
UFC 21: Return of the Champions,1999-07-16,Travis Fulton,David Dodd,win,U-DEC,2,5:00
